RA,Dec,Magnitude,Bayer,Full Bayer,English Name,Flamsteed
7.108333333333333,-39.915,5.43,-,-,-,-
7.233333333333333,36.9,6.26,-,-,-,-
7.179166666666666,-50.532777777777774,6.26,-,-,-,-
7.729166666666666,77.01944444444445,6.21,-,-,-,-
7.5791666666666675,59.977222222222224,5.94,-,-,-,-
7.529166666666666,29.751666666666665,5.23,-,-,-,28-And
7.4625,-14.864166666666666,6.14,-,-,-,-
7.449999999999999,-32.11666666666667,6.57,-,-,-,-
7.508333333333333,-3.957222222222222,5.72,-,-,-,12-Cet
7.591666666666666,-23.78777777777778,5.19,-,-,-,-
7.6125,-40.93944444444444,6.19,-,-,-,-
7.608333333333333,-48.215,5.69,-,-,-,-
7.854166666666667,66.51944444444445,6.18,-,-,-,13-Cas
7.854166666666667,33.58166666666667,5.87,-,-,-,-
7.941666666666667,54.52222222222222,4.73,λ,λ-Cas,-,14-Cas
7.920833333333334,52.839444444444446,5.6,-,-,-,-
7.854166666666667,-48.80361111111111,4.77,λ¹,λ¹-Phe,-,-
7.883333333333334,-62.95805555555556,4.37,β¹,β¹-Tuc,-,-
7.8875,-62.965833333333336,4.54,β²,β²-Tuc,-,-
8.108333333333334,43.49472222222222,6.7,-,-,-,-
8.329166666666667,70.98166666666667,6.42,-,-,-,-
8.25,62.931666666666665,4.16,κ,κ-Cas,-,15-Cas
8.145833333333332,20.294444444444448,5.38,-,-,-,52-Psc
8.095833333333333,6.955555555555556,5.67,-,-,-,51-Psc
8.141666666666667,27.580555555555556,6.67,-,-,-,-
8.204166666666667,28.280277777777776,6.3,-,-,-,-
8.291666666666666,54.894999999999996,5.93,-,-,-,-
8.179166666666667,-63.03111111111111,5.09,β³,β³-Tuc,-,-
8.6,66.75027777777778,6.48,-,-,-,16-Cas
8.420833333333334,-29.558333333333334,5.55,-,-,-,-
8.345833333333333,-71.26611111111112,6.13,θ,θ-Tuc,-,-
8.612499999999999,-52.37305555555555,5.57,-,-,-,-
8.729166666666666,13.371111111111112,6.4,-,-,-,-
8.808333333333335,-3.592777777777778,5.2,-,-,-,13-Cet
8.883333333333333,-0.5055555555555555,5.93,-,-,-,14-Cet
9.033333333333333,54.16861111111111,5.08,-,-,-,-
8.975,13.206666666666665,6.41,-,-,-,-
9.112499999999999,60.32611111111112,5.79,-,-,-,-
8.920833333333334,-48.00083333333333,5.51,λ²,λ²-Phe,-,-
8.887500000000001,-54.82194444444445,6.06,-,-,-,-
9.083333333333332,27.254722222222224,6.5,-,-,-,-
9.0125,-14.973611111111111,6.45,-,-,-,-
9.025,-22.842499999999998,6.06,-,-,-,-
9.191666666666666,44.48861111111111,5.13,-,-,-,-
9.241666666666665,53.89694444444444,3.66,ζ,ζ-Cas,-,17-Cas
9.216666666666667,33.71944444444445,4.36,π,π-And,-,29-And
9.195833333333335,15.231666666666667,5.89,-,-,-,53-Psc
9.279166666666667,24.014166666666668,6.47,-,-,-,-
9.3375,35.39944444444444,5.48,-,-,-,-
9.945833333333335,82.49388888888889,6.4,-,-,-,-
9.333333333333334,-24.76722222222222,5.57,-,-,-,-
9.154166666666667,-65.12472222222222,6.42,-,-,-,-
9.375,3.1352777777777776,6.39,-,-,-,-
9.325,-54.39416666666666,6.41,-,-,-,-
9.6375,29.311666666666667,4.37,ε,ε-And,-,30-And
9.7875,49.35444444444445,5.43,-,-,-,-
9.829166666666667,30.860833333333336,3.27,δ,δ-And,-,31-And
9.8375,21.250555555555554,5.87,-,-,-,54-Psc
9.979166666666666,21.438333333333333,5.36,-,-,-,55-Psc
10.124999999999998,56.53722222222222,2.23,α,α-Cas,Schedar,18-Cas
9.666666666666666,-73.13722222222223,6.85,-,-,-,-
9.9875,-33.961666666666666,6.69,-,-,-,-
9.966666666666667,-44.79666666666667,6.01,-,-,-,-
